Date,Price,MarketCap,Addresses,Difficulty,TransFee,TweetsNum
07/02/2011,0.895,4769676.0,1398.0,22012.0,0.00041,
08/02/2011,0.904,4827676.0,1427.0,25002.0,0.000236,
09/02/2011,0.998,5335378.0,2088.0,25998.0,6.31e-05,
10/02/2011,1.03,5519931.0,3549.0,25998.0,0.000487,
11/02/2011,1.025,5501868.0,4310.0,25998.0,0.000236,
12/02/2011,1.045,5618644.0,3300.0,25998.0,0.000452,
13/02/2011,1.051,5659050.0,3266.0,25998.0,0.000155,
14/02/2011,1.055,5693466.0,4117.0,25998.0,0.0016,
15/02/2011,1.053,5690289.0,3410.0,25998.0,0.000128,
16/02/2011,1.048,5675041.0,2982.0,25998.0,0.000333,
17/02/2011,1.043,5660045.0,3492.0,25998.0,6.37e-05,
18/02/2011,0.965,5250148.0,3608.0,34091.0,0.000277,
19/02/2011,0.893,4869726.0,2892.0,36460.0,0.000339,
20/02/2011,0.899,4910766.0,3177.0,36460.0,0.000103,
21/02/2011,0.833,4555463.0,3291.0,36460.0,0.000192,
22/02/2011,0.86,4712656.0,3781.0,36460.0,0.000106,
23/02/2011,0.905,4968106.0,3798.0,36460.0,0.000169,
24/02/2011,0.968,5326925.0,3676.0,36460.0,8.540000000000002e-05,
25/02/2011,0.941,5184453.0,3416.0,36460.0,0.00021099999999999998,
26/02/2011,0.935,5161893.0,3581.0,36460.0,0.00031299999999999996,
27/02/2011,0.924,5116373.0,3633.0,44849.0,0.000493,
28/02/2011,0.875,4855975.0,3028.0,55590.0,0.00028900000000000003,
01/03/2011,0.89,4946502.0,5194.0,55590.0,0.000145,
02/03/2011,0.93,5174268.0,3728.0,55590.0,0.000198,
03/03/2011,0.9259999999999999,5158902.0,4894.0,55590.0,0.00217,
04/03/2011,0.9059999999999999,5053686.0,3281.0,55590.0,0.000371,
05/03/2011,0.91,5089695.0,3610.0,55590.0,0.00124,
06/03/2011,0.905,5072589.0,3316.0,55590.0,0.00268,
07/03/2011,0.878,4931343.0,3409.0,55590.0,0.0030600000000000002,
08/03/2011,0.878,4940573.0,3867.0,55590.0,0.0015300000000000001,
09/03/2011,0.858,4838241.0,3384.0,62672.0,0.0016600000000000002,
10/03/2011,0.899,5075470.0,2912.0,76193.0,0.0012900000000000001,
11/03/2011,0.885,5002993.0,3048.0,76193.0,0.0033200000000000005,
12/03/2011,0.899,5087980.0,3232.0,76193.0,0.0004940000000000001,
13/03/2011,0.8959999999999999,5078690.0,2893.0,76193.0,0.000607,
14/03/2011,0.894,5069440.0,2900.0,76193.0,0.000627,
15/03/2011,0.882,5010595.0,3299.0,76193.0,0.000589,
16/03/2011,0.863,4904990.0,3166.0,76193.0,0.000513,
17/03/2011,0.835,4752721.0,3225.0,76193.0,0.00036,
18/03/2011,0.833,4747100.0,3094.0,76193.0,0.0005,
19/03/2011,0.7709999999999999,4394547.0,3176.0,76193.0,0.000305,
20/03/2011,0.753,4299008.0,4449.0,76193.0,0.000475,
21/03/2011,0.76,4345436.0,4652.0,76193.0,0.00115,
22/03/2011,0.784,4487167.0,3862.0,76193.0,0.0039,
23/03/2011,0.83,4754613.0,6864.0,76193.0,0.0034,
24/03/2011,0.8490000000000001,4873492.0,4388.0,76193.0,0.00349,
25/03/2011,0.875,5028655.0,4170.0,69603.0,0.00248,
26/03/2011,0.8690000000000001,5002625.0,4828.0,68978.0,0.00123,
27/03/2011,0.825,4749491.0,4772.0,68978.0,0.00225,
28/03/2011,0.809,4668815.0,5336.0,68978.0,0.0012900000000000001,
29/03/2011,0.7959999999999999,4595963.0,4653.0,68978.0,0.00107,
30/03/2011,0.7909999999999999,4575841.0,3662.0,68978.0,0.0020399999999999997,
31/03/2011,0.787,4559162.0,4159.0,68978.0,0.0016300000000000002,
01/04/2011,0.775,4494838.0,3279.0,68978.0,0.0018800000000000002,
02/04/2011,0.778,4523679.0,3304.0,68978.0,0.00134,
03/04/2011,0.78,4542325.0,3626.0,68978.0,0.00203,
04/04/2011,0.7290000000000001,4246099.0,4621.0,68978.0,0.0019399999999999999,
05/04/2011,0.7,4086215.0,4306.0,69942.0,0.0019199999999999998,
06/04/2011,0.7440000000000001,4349403.0,3867.0,82346.0,0.00212,
07/04/2011,0.7509999999999999,4396182.0,3423.0,82346.0,0.00147,
08/04/2011,0.752,4407240.0,3649.0,82346.0,0.00193,
09/04/2011,0.74,4343919.0,3615.0,82346.0,0.00198,
10/04/2011,0.743,4369999.0,3513.0,82346.0,0.00249,
11/04/2011,0.753,4435296.0,4060.0,82346.0,0.00185,
12/04/2011,0.8190000000000001,4829904.0,4330.0,82346.0,0.00201,
13/04/2011,0.8909999999999999,5261004.0,4672.0,82346.0,0.0016600000000000002,
14/04/2011,0.97,5732314.0,5966.0,82346.0,0.00506,
15/04/2011,0.995,5890780.0,4147.0,82346.0,0.00132,
16/04/2011,1.0170000000000001,6028217.0,5369.0,82346.0,0.0018800000000000002,
17/04/2011,1.08,6411878.0,4349.0,82346.0,0.00112,
18/04/2011,1.15,6839451.0,5540.0,89442.0,0.00131,
19/04/2011,1.18,7023057.0,6348.0,92348.0,0.0019399999999999999,
20/04/2011,1.162,6923070.0,5387.0,92348.0,0.00294,
21/04/2011,1.176,7017931.0,4047.0,92348.0,0.00224,
